error_pattern,correction,type,priority,confidence,frequency,created_at
บบ,บ,character_duplication,critical,0.95,634,2025-11-25 18:49:37
งบบริษัท,งบบริษัท,spacing_error,critical,0.99,170,2025-11-25 18:49:37
กําไร,กำไร,character_corruption,critical,0.98,149,2025-11-25 18:49:37
จํากัด,จำกัด,character_corruption,critical,0.98,58,2025-11-25 19:04:42
ภาษีเงินได,ภาษีเงินได้,tone_mark_error,critical,0.95,4,2025-11-25 19:07:09
ดอกเบียจ่าย,ดอกเบี้ยจ่าย,tone_mark_error,critical,0.95,4,2025-11-25 19:07:09
จันทร์เพ็ญ,จันทร์เพ็ญ,name_corruption,high,0.95,456,2025-11-25 19:04:42
บจก,บจก.,abbreviation_punctuation,high,0.85,165,2025-11-25 18:49:37
สส,ส,character_duplication,high,0.9,75,2025-11-25 18:49:37
จํากั,จำกัด,character_correction,high,0.9,58,2025-11-25 18:49:37
เตชะกําธร,เตชะกําธร,name_corruption,high,0.95,49,2025-11-25 19:04:42
บริษัท\s+จำกัด,บริษัทจำกัด,spacing_error,high,0.95,37,2025-11-25 19:04:42
ค่าใช จ่าย,ค่าใช้จ่าย,spacing_error,high,0.95,2,2025-11-25 19:07:09
จํานวนปี,จำนวนปี,character_corruption,high,0.98,1,2025-11-25 19:04:42
รายได้ ค้ างรับ,รายได้ค้างรับ,spacing_error,high,0.95,1,2025-11-25 19:07:09
ค างจ่าย,ค้างจ่าย,character_corruption,high,0.9,1,2025-11-25 19:07:09
สินทรัพย์หมุนเวียนอืน,สินทรัพย์หมุนเวียนอื่น,character_fix,high,0.9,1,2025-11-25 19:26:00
สินค าคงเหลือ,สินค้าคงเหลือ,spacing,high,0.9,1,2025-11-25 19:26:00
จัดสรร สํารองตามกฎหมาย,จัดสรร - สํารองตามกฎหมาย,spacing,high,0.9,1,2025-11-25 19:26:00
ผู้ตรวจสอบบัญชี จันทร์เพ็ญ เตชะกําธร 31/05/2568,ผู้ตรวจสอบบัญชี: จันทร์เพ็ญ เตชะกําธร 31/05/2568,spacing,high,0.9,1,2025-11-25 19:26:00
การปรับปรุงด วยค่าใช จ่ายภาษี เงินได,การปรับปรุงด้วยค่าใช้จ่ายภาษีเงินได้,spacing,high,0.9,1,2025-11-25 19:26:00
คํานวณงบกระแสเงินสด โดยวิธีทางอ ้อม,คํานวณงบกระแสเงินสด โดยวิธีทางอ้อม,character_fix,high,0.9,1,2025-11-25 19:26:00
กําไรจากกิจกรรมดําเนินงาน ก่อนการเปลียนแปลงใน สินท,กําไรจากกิจกรรมดําเนินงานก่อนการเปลี่ยนแปลงในสินทรัพย์,character_fix,high,0.9,1,2025-11-25 19:26:00
เงินสดและรายการเทียบเท่าเงินสด,เงินสดและรายการเทียบเท่าเงินสด,spacing,high,0.9,1,2025-11-25 19:26:00
เงินสดและรายการเทียบเท่าเงินสดเพิมขึน,เงินสดและรายการเทียบเท่าเงินสดเพิ่มขึน,spacing,high,0.9,1,2025-11-25 19:26:00
เงินสดและรายการเทียบเท่าเงินสดต ้นงวด,เงินสดและรายการเทียบเท่าเงินสดต้นงวด,spacing,high,0.9,1,2025-11-25 19:26:00
เงินสดและรายการเทียบเท่าเงินสดปลายงวด,เงินสดและรายการเทียบเท่าเงินสดปลายงวด,spacing,high,0.9,1,2025-11-25 19:26:00
รวมส่วนของผู้ถือหุ้น,รวมส่วนของผู้ถือหุ้น,spacing,high,0.9,1,2025-11-25 19:26:00
