phrase_id,original_phrase,word_count,confidence_score,status,needs_correction,correction_suggestion,final_correction,correction_source,context,company_name,company_name_en,file_name,created_at,updated_at
3,เงินสดและรายการเทียบเท่าเงินสด,1,,reviewed,1,เงินสดและรายการเทียบเท่าเงินสด,เงินสดและรายการเทียบเท่าเงินสด,dictionary_spacing,"Row 2, Col 0: เงินสดและรายการเทียบเท่าเงินสด...",,,,2025-11-25 19:11:05,2025-11-25 19:26:00
5,สินค าคงเหลือ,2,,reviewed,1,สินค้าคงเหลือ,สินค้าคงเหลือ,dictionary_spacing,"Row 4, Col 0: สินค าคงเหลือ...",,,,2025-11-25 19:11:05,2025-11-25 19:26:00
6,สินทรัพย์หมุนเวียนอืน,1,,reviewed,1,สินทรัพย์หมุนเวียนอื่น,สินทรัพย์หมุนเวียนอื่น,dictionary_character_fix,"Row 5, Col 0: สินทรัพย์หมุนเวียนอืน...",,,,2025-11-25 19:11:05,2025-11-25 19:26:00
35,สะสม,1,,reviewed,1,,,needs_manual_review,"Row 32, Col 0: กําไร ( ขาดทุน ) สะสม...",,,,2025-11-25 19:11:05,2025-11-25 19:26:00
41,ผู้ตรวจสอบบัญชี จันทร์เพ็ญ เตชะกําธร 31/05/2568,4,,reviewed,1,ผู้ตรวจสอบบัญชี: จันทร์เพ็ญ เตชะกําธร 31/05/2568,ผู้ตรวจสอบบัญชี: จันทร์เพ็ญ เตชะกําธร 31/05/2568,dictionary_spacing,"Row 0, Col 1: ผู้ตรวจสอบบัญชี จันทร์เพ็ญ เตชะกําธร 31/05/2568...",,,,2025-11-25 19:11:05,2025-11-25 19:26:00
42,รวมส่วนของบริษัทใหญ่,1,,reviewed,1,รวมส่วนของบริษัทใหญ่,รวมส่วนของบริษัทใหญ่,dictionary_spacing,"Row 1, Col 0: รวมส่วนของบริษัทใหญ่...",,,,2025-11-25 19:11:05,2025-11-25 19:26:00
43,รวมส่วนของผู้ถือหุ้น,1,,reviewed,1,รวมส่วนของผู้ถือหุ้น,รวมส่วนของผู้ถือหุ้น,dictionary_spacing,"Row 2, Col 0: รวมส่วนของผู้ถือหุ้น...",,,,2025-11-25 19:11:05,2025-11-25 19:26:00
45,คํานวณงบกระแสเงินสด โดยวิธีทางอ ้อม,3,,reviewed,1,คํานวณงบกระแสเงินสด โดยวิธีทางอ้อม,คํานวณงบกระแสเงินสด โดยวิธีทางอ้อม,dictionary_character_fix,"Row 0, Col 0: คํานวณงบกระแสเงินสด โดยวิธีทางอ ้อม...",,,,2025-11-25 19:11:05,2025-11-25 19:26:00
49,การปรับปรุงด วยค่าใช จ่ายภาษี เงินได,4,,reviewed,1,การปรับปรุงด้วยค่าใช้จ่ายภาษีเงินได้,การปรับปรุงด้วยค่าใช้จ่ายภาษีเงินได้,dictionary_spacing,"Row 2, Col 0: การปรับปรุงด วยค่าใช จ่ายภาษี เงินได...",,,,2025-11-25 19:11:05,2025-11-25 19:26:00
51,กําไรจากกิจกรรมดําเนินงาน ก่อนการเปลียนแปลงใน สินทรัพย์และหนีสินดําเนินงาน,3,,reviewed,1,,,needs_manual_review,"Row 4, Col 0: กําไรจากกิจกรรมดําเนินงาน ก่อนการเปลียนแปลงใน สินท...",,,,2025-11-25 19:11:05,2025-11-25 19:26:00
56,สินทรัพย์หมุนเวียนอืน,1,,reviewed,1,สินทรัพย์หมุนเวียนอื่น,สินทรัพย์หมุนเวียนอื่น,dictionary_character_fix,"Row 9, Col 0: สินทรัพย์หมุนเวียนอืน...",,,,2025-11-25 19:11:05,2025-11-25 19:26:00
59,ค่าใช จ่ายค างจ่าย,3,,reviewed,1,ค่าใช้จ่ายค่างจ่าย,ค่าใช้จ่ายค่างจ่าย,dictionary_character_fix,"Row 12, Col 0: ค่าใช จ่ายค างจ่าย...",,,,2025-11-25 19:11:05,2025-11-25 19:26:00
82,ลดลง,1,,reviewed,1,,,needs_manual_review,"Row 0, Col 0: เงินสดและรายการเทียบเท่า เงินสดเพิมขึน ( ลดลง ) สุ...",,,,2025-11-25 19:11:05,2025-11-25 19:26:00
108,สินทรัพย์หมุนเวียนอืน,1,,reviewed,1,สินทรัพย์หมุนเวียนอื่น,สินทรัพย์หมุนเวียนอื่น,dictionary_character_fix,"Row 9, Col 0: สินทรัพย์หมุนเวียนอืน...",,,,2025-11-25 19:11:05,2025-11-25 19:26:00
123,ค่าใช จ่ายค างจ่าย,3,,reviewed,1,ค่าใช้จ่ายค่างจ่าย,ค่าใช้จ่ายค่างจ่าย,dictionary_character_fix,"Row 24, Col 0: ค่าใช จ่ายค างจ่าย...",,,,2025-11-25 19:11:05,2025-11-25 19:26:00
136,สะสม,1,,reviewed,1,,,needs_manual_review,"Row 6, Col 0: กําไร ( ขาดทุน ) สะสม...",,,,2025-11-25 19:11:05,2025-11-25 19:26:00
137,รวมส่วนของผู้ถือหุ้น,1,,reviewed,1,รวมส่วนของผู้ถือหุ้น,รวมส่วนของผู้ถือหุ้น,dictionary_spacing,"Row 7, Col 0: รวมส่วนของผู้ถือหุ้น...",,,,2025-11-25 19:11:05,2025-11-25 19:26:00
139,ข้อมูลเพิมเติมในส่วนของผู้,1,,reviewed,1,ข้อมูลเพิ่มเติมในส่วนของผู้,ข้อมูลเพิ่มเติมในส่วนของผู้,dictionary_character_fix,"Row 9, Col 0: ข้อมูลเพิมเติมในส่วนของผู้...",,,,2025-11-25 19:11:05,2025-11-25 19:26:00
140,ถือหุ้น,1,,reviewed,1,ถือหุ้น,ถือหุ้น,dictionary_character_fix,"Row 10, Col 0: ถือหุ้น...",,,,2025-11-25 19:11:05,2025-11-25 19:26:00
